"DLPFC","DLPFC","Parietal","Parietal"
-3.3531,-2.6113,-1.9639,1.9479
-3.9793,-2.9913,-1.0803,3.1958
-3.1294,-2.6684,-0.54605,3.3637
-1.2299,-1.4309,-0.10653,4.0092
-0.67326,-0.98048,-0.91018,4.9114
-0.54435,-0.78052,-2.907,2.5044
-0.32926,0.12797,-2.4727,0.89204
-1.2994,0.051928,-1.2098,1.6704
-1.7697,1.0739,0.24861,1.0281
-0.76548,2.4982,2.1977,0.29788
-0.93908,2.9631,4.2505,1.6327
-0.78115,2.4402,3.6698,2.6702
-0.77425,2.1851,2.1519,1.6403
-0.944,2.0899,1.3278,1.7162
-1.0676,1.24,1.2778,2.0845
-0.5297,0.92516,0.40889,3.5651
-0.87488,0.5398,0.47137,4.3037
-1.0434,0.45612,0.49437,4.6744
-1.8044,-0.48401,-0.48587,3.5662
-2.2337,-0.81229,-1.1,1.7797
-1.711,-0.40833,-0.36948,0.0025348
-2.5279,-0.92388,-1.5348,-0.57082
-1.9273,-1.5065,-2.2546,-0.90227
-0.76778,-1.934,-2.7636,0.359
-0.33474,-2.1476,-3.6576,0.88773
-0.59725,-2.4499,-5.2991,-0.91431
0.16034,-1.814,-4.6946,-2.7503
0.32668,-1.372,-4.2304,-2.8805
0.010034,-0.7727,-6.0526,-2.6191
0.052147,-0.52472,-6.2223,-2.2286
0.45063,0.269,-4.6216,-0.093222
1.2435,1.3046,-2.8858,1.4573
0.41154,1.6159,-1.6569,1.1406
0.76989,1.6594,1.8405,1.3215
1.3195,2.746,1.9969,1.6444
0.81062,1.6758,0.55676,1.0567
-0.038405,0.74563,-1.963,-0.036485
0.46546,0.69895,-2.1098,-0.51984
-0.31198,0.63859,-1.8611,-0.99986
-0.28842,-0.0074694,-1.0983,-2.3254
-0.56048,1.0048,0.38866,-3.8739
-0.72238,1.0789,2.3252,-3.6133
-0.73663,1.6541,1.8063,-3.2827
-0.3794,0.93961,-0.1013,-4.2853
-0.2733,0.33481,-1.6146,-3.5133
1.1769,0.12012,-2.3645,-2.4535
2.6339,0.8774,-1.9107,-1.306
2.947,1.0501,-0.49494,-0.5558
3.3243,2.4873,1.4335,1.0477
3.1127,3.5046,3.5436,1.835
2.7345,4.1043,4.4789,3.0767
3.5548,3.9653,3.425,4.2703
4.2744,3.6017,2.8349,5.565
4.0148,1.8812,1.9927,6.4475
3.6096,0.2309,0.20253,5.6779
3.4637,-1.0335,0.13644,3.9074
2.1648,-1.428,1.3553,2.9143
1.1166,-1.8378,1.9452,1.7841
0.54966,-1.0017,2.2819,-0.53321
0.095218,-0.03572,2.9217,-1.2196
-0.87771,0.18723,2.2479,-1.7029
-1.5895,-0.50318,1.3289,-4.7884
-1.7387,-0.71242,0.25999,-6.522
-0.7809,-0.020647,1.1482,-6.4192
0.28063,-0.10664,2.1153,-6.0825
0.44939,-0.35971,1.1336,-5.9782
0.87995,-0.53961,-0.16212,-5.8862
1.7664,-0.28599,-0.9628,-5.7719
1.6093,-1.2223,-3.0445,-5.6841
1.3561,-1.533,-3.4398,-4.3805
1.7844,-0.91363,-2.5002,-2.4544
1.775,-0.68171,-0.9892,-0.10753
1.7649,-0.28628,-0.50044,2.0851
1.4406,-0.2254,0.88715,3.578
1.1102,-0.21128,-1.5325,3.1797
0.35911,-0.37561,-3.1755,2.4126
-0.47848,0.1745,-3.1134,1.9839
-0.73029,-0.1336,-1.4091,1.1706
-0.28988,0.66523,-0.30886,0.9571
-0.49448,0.3617,2.0468,0.79497
0.11969,0.14247,4.1189,-0.67796
0.63825,0.1069,4.0746,-1.1736
-0.31794,-0.45808,3.0769,-1.2936
-1.8143,-1.9248,1.5571,-2.3803
-0.96607,-0.69047,1.4643,-2.1097
-0.90307,-0.81548,0.32573,-0.36922
0.16228,-0.71824,-0.99958,0.29293
1.4711,0.12312,-1.269,0.39925
3.2095,1.4198,-0.56371,2.0776
3.286,1.3244,-0.43433,3.6503
2.8948,1.5735,-0.2868,3.2989
1.871,1.5607,0.81786,4.0956
1.5886,1.3455,1.1467,4.7971
0.65536,1.1322,0.4257,3.6421
1.071,0.61568,-0.29681,1.979
0.77573,-0.13121,0.18849,3.208
-0.04025,-2.2789,-0.75375,3.4869
-1.0881,-3.2504,-2.0876,2.7431
-0.85749,-3.9058,-2.1672,2.7579
-2.0707,-4.5484,-2.9596,2.8125
-1.2573,-3.6612,-4.2878,1.0819
-0.097589,-1.5427,-2.6308,0.55294
0.11827,-0.51784,0.30802,0.82406
-0.43641,0.16161,1.6201,0.88812
-0.3183,0.95973,3.9013,0.39431
0.18117,1.3267,4.7947,-0.39458
0.082586,1.3298,4.2412,-1.0253
-0.034881,0.59495,2.5073,-0.99365
-0.097802,0.36055,1.3395,-1.9834
-0.41839,0.6992,1.3068,-1.5463
-1.2339,0.74471,1.88,-0.20825
-2.3406,0.65083,1.3981,-0.45995
-2.0337,1.0259,1.2387,-1.4376
-1.8749,0.96985,2.2635,-0.55987
-1.8715,0.38726,0.98439,-0.1759
-2.2158,-0.37043,-0.16027,-0.74624
-1.5347,-0.78491,-0.25793,-0.59568
-1.1936,-0.45597,0.41548,0.74407
-0.028683,-0.034173,-0.0076377,1.5621
-0.27413,-0.48263,0.29452,1.5859
0.41484,-0.32328,1.3728,3.9889
-0.24086,-0.97919,0.023522,5.3339
-0.59723,-2.0323,-1.034,4.9284
-1.719,-2.9895,-1.8417,4.741
-1.3929,-2.6262,-1.5244,5.9761
